date,repo,stars,forks,watchers
2026-05-15,krono-sh/krono,0,0,0
2026-05-15,n8n-io/n8n,187947,57642,1089
2026-05-15,louislam/uptime-kuma,86785,7851,310
2026-05-15,apache/airflow,45421,17058,777
2026-05-15,kestra-io/kestra,26859,2581,143
2026-05-15,windmill-labs/windmill,16474,959,52
2026-05-15,triggerdotdev/trigger.dev,14926,1214,49
2026-05-15,hatchet-dev/hatchet,7150,384,23
2026-05-15,inngest/inngest,5359,298,17
2026-05-15,go-co-op/gocron,7054,346,34
2026-05-15,robfig/cron,14125,1697,197
2026-05-18,MackDing/krono,0,0,0
2026-05-18,n8n-io/n8n,188442,57751,1094
2026-05-18,louislam/uptime-kuma,86924,7864,311
2026-05-18,apache/airflow,45447,17067,777
2026-05-18,kestra-io/kestra,26876,2585,143
2026-05-18,windmill-labs/windmill,16498,960,52
2026-05-18,triggerdotdev/trigger.dev,14959,1221,49
2026-05-18,hatchet-dev/hatchet,7169,387,23
2026-05-18,inngest/inngest,5379,299,17
2026-05-18,go-co-op/gocron,7058,344,34
2026-05-18,robfig/cron,14126,1696,197
